english,nom_sing
Monday,Diluain
Tuesday,Dimairt
Wednesday,Diciadain
Thursday,Diardaoin
Friday,Dihaoine
Saturday,Disathairne
Sunday,Didòmhnaich
Sabbath,Là na Sabaid
