english,nom_sing,nom_pl,gender
cow,bò,bà,fem
sheep,caora,caoraich,fem
horse,each,eich,masc
bull,tarbh,tairbh,masc
goat,gobhar,gobhair,masc
rat,radan,radain,masc
rabbit,coineanach,coineanaich,masc
chicken,cearc,cearcan,fem
donkey,asal,asail,masc
goose,gèadh,geòidh,masc
duck,tunnag,tunnagan,fem
lamb,uan,uain,masc
frog,losgann,losgainn,masc
