english,nom_sing,nom_pl,gender
friend,caraid,càirdean,masc
neighbour,nàbaidh,nàbaidhean,masc
enemy,nàmhaid,naimhdean,masc
teenager,deugaire,deugairean,masc
adult,inbheach,inbhich,masc
idiot (m),amadan,amadain,masc
idiot (f),òinseach,òinsichean,fem
old man,bodach,bodaich,masc
old woman,cailleach,cailleachan,fem
girl,caileag,caileagan,fem
boy,balach,balaich,masc
