english,nom_sing,nom_pl,gender
deer,fiadh,fèidh,masc
hedgehog,gràineag,gràineagan,fem
badger,broc,bruic,masc
spider,damhan-allaidh,damhain-allaidh,masc
wolf,madadh-allaidh,madaidhean-allaidh,masc
bear,mathan,mathain,masc
tortoise,sligeanach,sligeanaich,masc
wildcat,cat-fiadhaich,cait-fhiadhaich,masc
swan,eala,ealachan,fem
bat,ialtag,ialtagan,fem
crow,feannag,feannagan,fem
squirrel,feòrag,feòragan,fem
snake,nathair,nathraichean,fem
