english,nom_sing,nom_pl,gender
potato,buntàta,buntàta,masc
neep,snèap,snèipean,fem
tomato,tomàto,tomàtothan,masc
cabbage,càl,càil,masc
carrot,curran,curranan,masc
parsnip,curran-geal,curranan-geal,masc
onion,uinnean,uinneanan,masc
pumpkin,peapag,peapagan,fem
