english,nom_sing,nom_pl,gender
fish,iasg,èisg,masc
crab,crùbag,crùbagan,fem
herring,sgadan,sgadain,masc
salmon,bradan,bradain,masc
haddock,adag,adagan,fem
seagull,faoileag,faoileagan,fem
cormorant,sgarbh,sgairbh,masc
dolphin,leumadair,leumadairean,masc
whale,muc-mhara,mucan-mara,fem
shark,cearban,cearbain,masc
seal,ròn,ròin,masc
octopus,ochd-chasach,ochd-chasachan,masc
