english,nom_sing,nom_pl,gender
mountain,beinn,beanntan,fem
forest,coille,coilltean,fem
glen,gleann,gleanntan,masc
river,abhainn,aibhnichean,fem
stream,allt,uillt,masc
farm,tuathanas,tuathanasan,masc
castle,caisteal,caistealan,masc
bridge,drochaid,drochaidean,fem
beach,tràigh,tràighean,fem
island,eilean,eileanan,masc
croft,croit,croitean,fem
shore,cladach,cladaichean,masc
cliff,stalla,stallachan,masc
desert,fàsach,fàsaichean,masc
hill,cnoc,cnuic,masc
