english,nom_sing,nom_pl,gender
plate,truinnsear,truinnsearan,masc
bowl,bobhla,bobhlaichean,masc
cup,cupa,cupannan,masc
glass,glainne,glainneachan,fem
fork,forca,forcan,fem
knife,sgian,sgianan,fem
spoon,spàin,spàinean,fem
kettle,coire,coireannan,fem
oven,àmhainn,àmhainnean,fem
mug,muga,mugaichean,masc
bottle,botal,botail,masc
spatula,spaideal,spaidealan,masc
fridge,frids,fridsichean,masc
freezer,reothadair,reothadairean,masc
