english,adj_gd,comp_sup
cold,fuar,fhuaire
wet,fliuch,fliche
windy,gaothach,gaothaiche
rough,garbh,gairbhe
snowy,sneachdail,sneachdaile
stormy,stoirmeil,stoirmeile
miserable,truagh,truaighe
showery,frasach,frasaiche
warm,blàth,blàithe
hot,teth,teotha
sunny,grianach,grianaiche
nice,alainn,alainne
dry,tioram,tiormal
bright,soilleir,soilleire
frozen,reòiteil,reòiteile
calm,ciùin,ciùine
muggy,bruthainneach,bruthainniche
wretched,mosach,mosaiche
