english,nom_sing,nom_pl,gender
cat,cat,cait,masc
dog,cù,coin,masc
mouse,luch,luchainn,fem
bird,eun,eòin,masc
fish,iasg,èisg,masc
kitten,piseag,piseagan,fem
puppy,cuilean,cuileanan,masc
pet,peata,peataichean,masc
