english,nom_sing,nom_pl,gender
mother,màthair,màthraichean,fem
father,athair,athraichean,masc
son,mac,mic,masc
daughter,nighean,nigheanan,fem
brother,bràthair,bràithrean,masc
sister,piuthar,peathraichean,fem
aunt,antaidh,antaidhean,fem
uncle,uncail,uncailean,masc
grandfather,seanair,seanairean,masc
grandmother,seanmhair,seanmhairean,fem
cousin,co-ogha,co-oghaichean,masc
grandchild,ogha,oghaichean,masc
husband,duine,daoine,masc
wife,bean,mnathan,fem
baby,leanabh,leanabhan,masc
