english,nom_sing,gender
water,uisge,masc
milk,bainne,masc
tea,tì,masc
cup of tea,srubag,fem
coffee,cofaidh,masc
juice,sùgh,masc
whisky,uisge-beatha,masc
vodka,bhodca,masc
beer,leann,masc
wine,fìon,masc
white wine,fìon geal,masc
red wine,fìon dearg,masc
cider,leann-ubhail,masc
brandy,branndaidh,fem
apple juice,sùgh-ubhail,masc
gin,sineubhar,masc
small whisky,tè bheag,fem
large whisky,tè mhòr,fem
